"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 03 12:32:34 IDT 2020","Wed Jun 03 12:32:35 IDT 2020","452","Suite","Electron Tests","SanityTests.electronDemo","SanityTests.electronDemo","test02_versionVeriffication","Test02: Verify Application Version Number ","Test Description: Getting the Version number from App and verify it"
"skipped","Sat May 23 21:24:44 IDT 2020","Sat May 23 21:24:44 IDT 2020","0","Default Suite","FullStackfinalProject-master","SanityTests.mortageMobile","SanityTests.mortageMobile","test01_verifyRepayment","Test01: Verify Mortgage","Test Description: Fill in Mortgage fields and calculate repayment"
"broken","Sat May 23 21:24:44 IDT 2020","Sat May 23 21:24:44 IDT 2020","0","Default Suite","FullStackfinalProject-master","SanityTests.mortageMobile","SanityTests.mortageMobile","startSession","startSession",""
"skipped","Wed Jun 03 12:29:20 IDT 2020","Wed Jun 03 12:29:20 IDT 2020","0","Default Suite","FullStackfinalProject-master","SanityTests.electronDemo","SanityTests.electronDemo","test02_versionVeriffication","Test02: Verify Application Version Number ","Test Description: Getting the Version number from App and verify it"
"skipped","Wed Jun 03 14:38:03 IDT 2020","Wed Jun 03 14:38:03 IDT 2020","6","Default Suite","FullStackfinalProject-master","SanityTests.calculatorDesktop","SanityTests.calculatorDesktop","test01_addition","Test01: Verify Addiction Command","Test Description: Verify addition command in calculator"
"broken","Tue Jun 09 19:15:12 IDT 2020","Tue Jun 09 19:15:12 IDT 2020","4","Default Suite","FullStackfinalProject-master","SanityTests.grafanaWeb","SanityTests.grafanaWeb","startSession","startSession",""
"passed","Tue Jun 09 19:35:56 IDT 2020","Tue Jun 09 19:35:57 IDT 2020","883","Suite","Web Tests","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test02_verifyDefaultUsers","Test02: Verify Default Users","Test Description: Verifies the Default Number of Users (Should be 1)"
"passed","Wed Jun 03 11:45:08 IDT 2020","Wed Jun 03 11:45:10 IDT 2020","2902","Suite","API Tests","SanityTests.grafanaAPI","SanityTests.grafanaAPI","test02_addTeamAndVerify","Test01: Add Team And Verify","Test Description: Add Team to Grafana And Verify it"
"skipped","Wed Jun 03 14:38:03 IDT 2020","Wed Jun 03 14:38:03 IDT 2020","1","Default Suite","FullStackfinalProject-master","SanityTests.calculatorDesktop","SanityTests.calculatorDesktop","test02_subtraction","Test02: Verify Subtraction Command","Test Description: Verify subtraction command in calculator"
"passed","Wed Jun 03 13:27:04 IDT 2020","Wed Jun 03 13:27:11 IDT 2020","7406","Suite","Mobile Tests","SanityTests.mortageMobile","SanityTests.mortageMobile","test01_verifyRepayment","Test01: Verify Mortgage","Test Description: Fill in Mortgage fields and calculate repayment"
"broken","Wed Jun 03 10:08:02 IDT 2020","Wed Jun 03 10:08:02 IDT 2020","1","Default Suite","FullStackfinalProject-master","SanityTests.grafanaAPI","SanityTests.grafanaAPI","startSession","startSession",""
"skipped","Wed Jun 03 16:01:22 IDT 2020","Wed Jun 03 16:01:22 IDT 2020","4","Default Suite","FullStackfinalProject-master","SanityTests.grafanaWeb","SanityTests.grafanaWeb","test06_verifyAvatar","Test06: verify new folder doesn't have dashboard","Test Description: verify new folder doesn't have dashboard"
